,Unnamed: 0,latitude,longitude,magnitude,depth,origintime
3738,45286,-22.92128754,170.0102386,7.43918335,10.0,2023-05-20 01:50:57.963000+00:00
9958,95547,-37.40475845,179.9621277,7.23551957,33.0,2021-03-04 13:27:35.223000+00:00
11459,110393,-33.4619751,-177.4386749,7.39464457,10.0,2020-06-18 12:49:49.894000+00:00
15124,160500,-6.07,142.77,7.12322835,23.0,2018-02-25 17:44:44+00:00
17147,194227,-43.4,-73.9,7.69366833,35.0,2016-12-25 14:22:26+00:00
19777,207213,-42.6925354,173.0221405,7.82037973,15.11445332,2016-11-13 11:02:56.346000+00:00
20798,212875,-36.97947693,179.5200195,7.07989947,21.78820992,2016-09-01 16:37:55.440000+00:00
29560,315754,-29.20001,-175.5,7.4,16.0,2011-10-21 17:57:16.197000+00:00
30766,321156,-29.539,-176.34,7.6,17.0,2011-07-06 19:03:18.260000+00:00
36371,345638,-43.52731,172.16794,7.2,11.0426,2010-09-03 16:35:41.836000+00:00
41746,370692,-45.77025,166.58707,7.8,12.0,2009-07-15 09:22:29.322000+00:00
42930,378619,-23.043,-174.66,7.6,31.0,2009-03-19 18:17:40.470000+00:00
44526,388521,-30.34087,-175.42741,7.0,33.0,2008-09-29 15:19:21.619000+00:00
47169,404628,-26.0,-177.5,7.666,153.0,2007-12-09 07:28:16.730000+00:00
48026,408790,-49.27101,164.11501,7.3,10.0,2007-09-30 05:23:34.070000+00:00
52318,434056,-31.99516,-177.55634,7.4,152.0,2006-05-16 10:39:14.169000+00:00
52423,434661,-20.187,-174.123,8.0,55.0,2006-05-03 15:26:39.242000+00:00
56716,460448,-51.25639,159.77438,8.1,10.0,2004-12-23 14:58:38.690000+00:00
56986,461768,-46.60614,165.31691,7.0,12.0,2004-11-22 20:26:32.095000+00:00
62708,491514,-45.19286,166.83005,7.1,24.3452,2003-08-21 12:12:49.867000+00:00
69496,517401,-36.48562,-178.47597,7.107,33.0,2001-08-21 06:51:57.708000+00:00
70090,520130,-29.81,-178.58,7.327,185.0,2001-06-03 02:41:57.440000+00:00
72912,534069,-31.94136,-178.54529,7.649,436.1739,2000-08-15 04:30:04.993000+00:00
73685,537087,-31.72232,-178.34612,7.196,392.3979,2000-05-08 21:35:40.967000+00:00
76637,547807,-32.45824,-177.51326,7.005,207.634,1999-04-20 19:04:04.550000+00:00
79090,556756,-32.12886,-175.77399,7.172,330.9584,1998-07-09 14:45:37.123000+00:00
82811,571947,-32.30516,-178.79001,7.1,339.3824,1997-05-25 23:22:30.588000+00:00
82971,573120,-32.54943,-177.98146,7.113,135.4866,1997-05-03 16:46:01.845000+00:00
84794,582505,-31.16,180.0,7.288,369.0,1996-11-05 09:41:34.433000+00:00
93819,610020,-37.64958,179.48859,7.15,12.0,1995-02-05 22:51:02.305000+00:00
105699,660903,-31.2,179.94,7.103,395.0,1992-08-08 01:08:04.760000+00:00
113020,689931,-31.55958,-177.50873,7.053,232.9927,1990-03-21 16:45:59.632000+00:00
124124,721398,-30.92,-177.48,7.25,271.0,1983-01-26 16:02:13.660000+00:00
126847,729429,-46.7,166.03,7.3,12.0,1979-10-12 10:25:22.100000+00:00
128289,734385,-23.19,-175.92,7.2,33.0,1977-06-22 12:08:28.300000+00:00
135193,742341,-41.76,172.03999,7.1,12.0,1968-05-23 17:24:17.390000+00:00
139466,746966,-37.6,176.48,7.2,273.0,1953-09-29 01:36:51.400000+00:00
140059,747598,-32.07,-179.42999,7.05,326.0,1951-03-23 21:38:51.200000+00:00
140165,747705,-28.42,179.97,7.4,300.0,1950-12-10 13:23:06.160000+00:00
140473,748024,-29.3,-178.2,7.0,190.0,1949-11-22 00:51:47.380000+00:00
141117,748678,-38.84554,178.80322,7.0,12.0,1947-03-25 20:32:07.748000+00:00
141406,748977,-47.47,166.12,7.4,12.0,1945-09-01 22:44:08.120000+00:00
141677,749261,-32.34,177.62,7.3,12.0,1943-09-26 08:02:53.500000+00:00
141931,749520,-33.7,-179.8,7.1,285.0,1942-10-06 14:16:00+00:00
142430,750025,-45.0,167.0,7.0,25.0,1939-02-10 15:35:00+00:00
142505,750100,-40.55,176.28999,7.2,12.0,1934-03-05 11:46:13.100000+00:00
142520,750115,-39.5,177.5,7.3,30.0,1931-02-13 01:27:00+00:00
142524,750119,-39.3,177.0,7.4,20.0,1931-02-02 22:47:00+00:00
142536,750131,-41.7,172.2,7.3,20.0,1929-06-16 22:47:43+00:00
142539,750134,-42.84,171.83,7.01,12.0,1929-03-09 10:50:00+00:00
142576,750171,-37.5,176.5,7.3,300.0,1914-11-22 08:14:00+00:00
142585,750180,-40.4,176.4,7.0,16.0,1904-08-08 22:50:00+00:00
